timestamp,order_id,final_score,status,action_taken,distance_km,weather,restaurant_load,image_filename,analysis_text,recommendation,lateness_min
2026-02-18T22:49:02.801867,5001,1.0,"Timeliness: Very Poor, Packaging: Damaged",CRITICAL: Refund Issued,17.63,Clear,Medium,damaged\am-i-wrong-to-complain-v0-aupgol841lgb1.jpg,"Score: 1.0/5.0. Impacted by packaging damage, significant delay. ",Check Handling,35.0
2026-02-18T22:49:08.009837,5002,3.8,"Timeliness: Excellent, Packaging: Damaged",Flagged for Review,8.12,Clear,Low,ok\images (11).jpg,Score: 3.8/5.0. Impacted by packaging damage. ,Check Handling,-12.0
2026-02-18T22:49:13.210293,5003,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,13.44,Clear,High,ok\0d2e0c224795573.Y3JvcCwxOTk0LDE1NjAsMTcyLDA.jpg,Score: 5.0/5.0. Context: high restaurant load.,Standard Protocol,-4.0
2026-02-18T22:49:18.392855,5004,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,7.73,Clear,Medium,ok\istockphoto-1299699008-612x612.jpg,Score: 5.0/5.0. ,Standard Protocol,-9.0
2026-02-18T22:49:23.605128,5005,1.7,"Timeliness: Poor, Packaging: Damaged",CRITICAL: Refund Issued,5.76,Clear,High,damaged\images (3).jpg,"Score: 1.7/5.0. Impacted by packaging damage, significant delay. Context: high restaurant load.",Check Handling,22.0
2026-02-18T22:49:28.802972,5006,1.7,"Timeliness: Poor, Packaging: Damaged",CRITICAL: Refund Issued,17.0,Clear,High,damaged\images (6).jpg,"Score: 1.7/5.0. Impacted by packaging damage, significant delay. Context: high restaurant load.",Check Handling,25.0
2026-02-18T22:49:34.019615,5007,4.3,"Timeliness: Good, Packaging: Excellent",No Action,4.24,Clear,High,ok\images (20).jpg,Score: 4.3/5.0. Context: high restaurant load.,Standard Protocol,1.0
2026-02-18T22:49:39.180146,5008,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,9.24,Clear,Medium,ok\images (8).jpg,Score: 5.0/5.0. ,Standard Protocol,-7.0
2026-02-18T22:49:44.318992,5009,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,16.5,Clear,Medium,ok\images (2).jpg,Score: 5.0/5.0. ,Standard Protocol,-4.0
2026-02-18T22:49:49.525203,5010,3.8,"Timeliness: Excellent, Packaging: Damaged",Flagged for Review,14.84,Clear,Low,ok\images (11).jpg,Score: 3.8/5.0. Impacted by packaging damage. ,Check Handling,-11.0
2026-02-18T22:49:54.761568,5011,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,2.64,Clear,High,ok\cakehai.jpg,Score: 3.6/5.0. Context: high restaurant load.,Standard Protocol,8.0
2026-02-18T22:50:00.001287,5012,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,14.31,Clear,Low,ok\intro-1675107221.jpg,Score: 5.0/5.0. ,Standard Protocol,-10.0
2026-02-18T22:50:05.226770,5013,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,1.23,Rain,Medium,ok\gettyimages-172656126-612x612.jpg,Score: 5.0/5.0. Context: adverse weather (Rain).,Standard Protocol,-5.0
2026-02-18T22:50:10.448275,5014,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,14.97,Rain,Medium,ok\images (2).jpg,Score: 5.0/5.0. Context: adverse weather (Rain).,Standard Protocol,-14.0
2026-02-18T22:50:15.715906,5015,4.3,"Timeliness: Good, Packaging: Excellent",No Action,15.97,Rain,High,ok\coffee-delivery-theme-4-paper-cups-with-hot-lids-in-carton-tray-2WFD57B.jpg,"Score: 4.3/5.0. Context: adverse weather (Rain), high restaurant load.",Standard Protocol,1.0
2026-02-18T22:50:20.884726,5016,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,13.95,Clear,Low,ok\360_F_41304196_r9YMTXoODnojG65kUM8IE8pFXr8kbP1J.jpg,Score: 5.0/5.0. ,Standard Protocol,-10.0
